Episode,Title,Source,Month,Colors,Subjects
S08E05,Hunter's Haven,https://www.youtube.com/embed/Da4SPyh1ATM,January,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cabin','Cirrus','Clouds','Conifer','Deciduous','Path','River','Rocks','Structure','Tree','Trees']"
S08E06,Bubbling Mountain Brook,https://www.youtube.com/embed/U2_SKgM3f4A,February,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Conifer','Grass','Mountain','Mountains','River','Tree','Trees']"
S08E07,Winter Hideaway,https://www.youtube.com/embed/19oz9XHZNzA,February,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cabin','Conifer','Deciduous','Fence','Snow','Structure','Tree','Trees','Winter']"
S08E08,Foot of the Mountain,https://www.youtube.com/embed/cIUBUc_ITBc,February,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Conifer','Deciduous','Grass','Mountain','Mountains','River','Snowy Mountain','Tree','Trees']"
S08E09,Majestic Pine,https://www.youtube.com/embed/x5CoQj9zr-c,February,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Conifer','Framed','Rectangular Frame','Tree','Trees']"
S08E10,Cactus at Sunset,https://www.youtube.com/embed/XBqD3QhKU24,March,"['Alizarin Crimson','Black Gesso','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cactus','Clouds','Path','Rocks']"
S08E11,Mountain Range,https://www.youtube.com/embed/V_l6olF3yHI,March,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Indian Yellow','Phthalo Blue','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Clouds','Conifer','Cumulus','Deciduous','Guest','Lake','Mountain','Mountains','Snowy Mountain','Steve Ross','Tree','Trees']"
S08E12,Lonely Retreat,https://www.youtube.com/embed/qTDQt_PdlYc,March,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cabin','Clouds','Conifer','Snow','Structure','Tree','Winter']"
S08E13,Northern Lights,https://www.youtube.com/embed/vgbMONXc9Cs,March,"['Alizarin Crimson','Black Gesso','Bright Red','Dark Sienna','Midnight Black','Phthalo Blue','Phthalo Green','Titanium White','Van Dyke Brown']","['Aurora Borealis','Cabin','Conifer','Deciduous','Lake','Mountain','Night','Snow','Snowy Mountain','Structure','Tree','Trees','Winter']"
S09E01,Winter Evergreens,https://www.youtube.com/embed/O6L5YPt9CeU,April,"['Alizarin Crimson','Bright Red','Dark Sienna','Midnight Black','Phthalo Blue','Prussian Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cirrus','Clouds','Conifer','Mountain','Mountains','Snow','Snowy Mountain','Sun','Tree','Trees','Winter']"
S09E02,Surf's Up,https://www.youtube.com/embed/ZKxFvyyOBPQ,May,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Liquid Clear','Midnight Black','Phthalo Blue','Prussian Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Beach','Cliff','Clouds','Cumulus','Ocean','Rocks','Waves']"
S09E03,Red Sunset,https://www.youtube.com/embed/e5JhYi_G-l0,May,"['Alizarin Crimson','Black Gesso','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Conifer','Lake','Tree','Trees']"
S09E04,Meadow Road,https://www.youtube.com/embed/u5VT_WGM0kg,May,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Conifer','Cumulus','Deciduous','Grass','Mountain','Mountains','Path','Snowy Mountain','Tree','Trees']"
S09E05,Winter Oval,https://www.youtube.com/embed/pYWiLm_-sXw,May,"['Alizarin Crimson','Bright Red','Dark Sienna','Midnight Black','Phthalo Blue','Titanium White','Van Dyke Brown']","['Bushes','Cabin','Conifer','Fog','Framed','Mountain','Oval Frame','River','Snowy Mountain','Structure','Tree','Trees']"
S09E06,Secluded Beach,https://www.youtube.com/embed/WGUcw_kFvzU,June,"['Alizarin Crimson','Black Gesso','Bright Red','Cadmium Yellow','Dark Sienna','Midnight Black','Phthalo Blue','Prussian Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Beach','Clouds','Cumulus','Ocean','Rocks','Waves']"
S09E07,Forest Hills,https://www.youtube.com/embed/E3XW_Zp238U,June,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Conifer','Deciduous','Mountain','Mountains','River','Rocks','Snowy Mountain','Tree','Trees']"
S09E08,Little House by the Road,https://www.youtube.com/embed/3CDg_9gL-5M,June,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cabin','Deciduous','Fence','Mountain','Path','Structure','Tree','Trees']"
S09E09,Mountain Path,https://www.youtube.com/embed/e0VUprkc1n0,June,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Mountain','River','Snowy Mountain','Tree','Trees']"
S09E10,Country Charm,https://www.youtube.com/embed/9wp8NRzCJnw,July,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']",[]
S09E11,Nature's Paradise,https://www.youtube.com/embed/7yU55PUls2c,July,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Cumulus','Deciduous','Grass','Mountain','Mountains','River','Tree','Trees']"
S09E12,Mountain by the Sea,https://www.youtube.com/embed/so--opB-yuQ,July,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Liquid Clear','Midnight Black','Phthalo Blue','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Beach','Bushes','Clouds','Cumulus','Deciduous','Mountain','Ocean','Snowy Mountain','Tree','Waves']"
S09E13,Mountain Hideaway,https://www.youtube.com/embed/q48EWPrbzVs,July,"['Alizarin Crimson','Black Gesso','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cirrus','Clouds','Conifer','Deciduous','Grass','Mountain','Mountains','River','Snowy Mountain','Tree','Trees']"
